Status de Pagamento,Dia,Mês,Meio de Propaganda,Valor Pago,Chamadas Realizadas,Duração da chamada,Modelo de Treinamento,Nivel de Treinamento,Código de Área,Equipe,Consultor
Pago,1,Abr,Televisão,R$ 7000000 ,3,02:00,GK,KJI. L4,A7,Equipe 1,Arthur
Pago,10,Ago,Televisão,R$ 11000000 ,1,02:00,GK,Pre. L8,B13,Equipe 2,Heitor
Pago,20,Set,Website,R$ 12000000 ,3,02:00,GK,Fndn. L5,A1,Equipe 2,Helena
Pago,23,Set,Facebook,R$ 15000000 ,1,02:00,GK,Fndn. L5,A2,Equipe 3,Alice
Pago,11,Set,Televisão,R$ 25000000 ,2,02:00,GK,Fndn. L3,B13,Equipe 4,Theo
Pago,2,Out,WhatsApp,R$ 12000000 ,1,02:00,GK,Fndn. L1,A4,Equipe 1,Davi
Pago,6,Out,WhatsApp,R$ 20000000 ,2,02:00,GK,KJI. L4,B12,Equipe 4,Theo
Pago,26,Nov,Facebook,R$ 19000000 ,2,02:00,BE,Pre. L2,A2,Equipe 1,Davi
Pago,15,Nov,WhatsApp,R$ 38000000 ,2,02:00,BE,Fndn. L1,B18,Equipe 2,Heitor
Pago,17,Nov,Google Ad,R$ 12000000 ,2,02:00,GK,Fndn. L6,C8,Equipe 2,Laura
Pago,1,Abr,Televisão,R$ 7000000 ,3,02:00,GK,KJI. L4,A7,Equipe 1,Arthur
Pago,2,Out,WhatsApp,R$ 12000000 ,1,02:00,GK,Fndn. L1,A4,Equipe 1,Heitor
Pago,6,Out,WhatsApp,R$ 20000000 ,2,02:00,GK,KJI. L4,B12,Equipe 4,Lorenzo
Pago,26,Nov,Facebook,R$ 19000000 ,2,02:00,BE,Pre. L2,A2,Equipe 1,Sophia
Pago,2,Out,WhatsApp,R$ 12000000 ,1,02:00,GK,Fndn. L1,A4,Equipe 1,Helena
Pago,6,Out,WhatsApp,R$ 20000000 ,2,02:00,GK,KJI. L4,B12,Equipe 4,Lorenzo
Pago,26,Nov,Facebook,R$ 19000000 ,2,02:00,BE,Pre. L2,A2,Equipe 1,Sophia
Pago,12,Jan,Televisão,R$ 11000000 ,1,02:00,GK,Pre. L3,C8,Equipe 2,Laura
Pago,11,Fev,Website,R$ 25000000 ,1,02:00,GK,Fndn. L5,B12,Equipe 2,Helena
Pago,11,Mar,Facebook,R$ 38000000 ,2,02:00,BE,Pre. L3,B12,Equipe 1,Lorenzo
Pago,3,Abr,WhatsApp,R$ 15000000 ,1,02:00,GK,Pre. L3,A7,Equipe 1,Davi
Pago,11,Mai,Televisão,R$ 19000000 ,1,02:00,BE,KJI. L4,B13,Equipe 3,Sophia
Pago,10,Mai,WhatsApp,R$ 20000000 ,3,02:00,GK,Pre. L2,A2,Equipe 3,Sophia
Pago,5,Mai,WhatsApp,R$ 7000000 ,2,02:00,GK,Pre. L3,B18,Equipe 2,Laura
Pago,12,Jun,Website,R$ 38000000 ,3,02:00,BE,Fndn. L1,A4,Equipe 1,Lorenzo
Pago,26,Ago,Televisão,R$ 20000000 ,3,02:00,CNI,KJI. L4,A7,Equipe 4,Theo
Pago,25,Set,Televisão,R$ 15000000 ,3,02:00,GK,Pre. L3,A1,Equipe 2,Laura
Pago,11,Set,Televisão,R$ 12000000 ,4,02:00,GK,Pre. L8,A7,Equipe 4,Theo
Pago,18,Set,Televisão,R$ 15000000 ,2,02:00,GK,Fndn. L1,B18,Equipe 1,Lorena
Pago,1,Out,Facebook,R$ 15000000 ,3,02:00,GK,Fndn. L1,A1,Equipe 2,Laura
Pago,1,Out,Televisão,R$ 12000000 ,6,02:00,GK,Fndn. L1,A1,Equipe 1,Davi
Pago,8,Out,Televisão,R$ 15000000 ,3,02:00,GK,Fndn. L3,A7,Equipe 1,Lorena
Pago,20,Out,Website,R$ 25000000 ,4,02:00,GK,Fndn. L3,A1,Equipe 1,Lucas
Pago,20,Out,Google Ad,R$ 12000000 ,4,02:00,GK,Pre. L4,A2,Equipe 3,João
Pago,1,Out,Website,R$ 15000000 ,5,02:00,GK,Fndn. L5,A4,Equipe 3,Sophia
Pago,20,Out,Website,R$ 10000000 ,1,02:00,GK,Pre. L4,B12,Equipe 1,Samuel
Pago,1,Out,Website,R$ 12000000 ,2,02:00,GK,Fndn. L3,B13,Equipe 1,Lorenzo
Pago,4,Out,Televisão,R$ 11000000 ,6,02:00,GK,Fndn. L1,B18,Equipe 2,Helena
Pago,3,Nov,Facebook,R$ 19000000 ,3,02:00,BE,Pre. L4,B18,Equipe 1,Lorenzo
Pago,22,Nov,Facebook,R$ 19000000 ,1,02:00,BE,Pre. L8,C8,Equipe 4,Bernardo
Pago,13,Nov,Google Ad,R$ 20000000 ,3,02:00,CNI,KJI. L4,A1,Equipe 3,Sophia
Pago,17,Nov,Google Ad,R$ 7000000 ,1,02:00,GK,KJI. L4,A2,Equipe 1,Lorenzo
Pago,30,Nov,Google Ad,R$ 10000000 ,1,02:00,GK,Fndn. L5,A2,Equipe 3,João
Pago,29,Nov,Facebook,R$ 15000000 ,1,02:00,GK,KJI. L4,B13,Equipe 2,Heitor
Pago,6,Nov,Google Ad,R$ 7000000 ,3,02:00,GK,Pre. L4,C8,Equipe 4,Bernardo
Pago,22,Dez,Website,R$ 25000000 ,6,02:00,GK,Pre. L3,B12,Equipe 4,Theo
Pago,3,Dez,Facebook,R$ 20000000 ,4,02:00,GK,Fndn. L1,C8,Equipe 2,Laura
Pago,12,Jan,Televisão,R$ 11000000 ,1,02:00,GK,Pre. L3,C8,Equipe 2,Laura
Pago,11,Fev,Website,R$ 25000000 ,1,02:00,GK,Fndn. L5,B12,Equipe 2,Helena
Pago,11,Mar,Facebook,R$ 38000000 ,2,02:00,BE,Pre. L3,B12,Equipe 1,Lorenzo
Pago,3,Abr,WhatsApp,R$ 15000000 ,1,02:00,GK,Pre. L3,A7,Equipe 1,Davi
Pago,11,Mai,Televisão,R$ 19000000 ,1,02:00,BE,KJI. L4,B13,Equipe 3,Sophia
Pago,10,Mai,WhatsApp,R$ 20000000 ,3,02:00,GK,Pre. L2,A2,Equipe 3,Sophia
Pago,5,Mai,WhatsApp,R$ 7000000 ,2,02:00,GK,Pre. L3,B18,Equipe 2,Laura
Pago,12,Jun,Website,R$ 38000000 ,3,02:00,BE,Fndn. L1,A4,Equipe 1,Lorenzo
Pago,26,Ago,Televisão,R$ 20000000 ,3,02:00,CNI,KJI. L4,A7,Equipe 4,Theo
Não pago,11,Mar,Facebook,R$ 0 ,1,02:00,,,A1,Equipe 1,Lorena
Não pago,14,Abr,Televisão,R$ 0 ,5,02:00,,,A2,Equipe 2,Laura
Não pago,1,Mai,Televisão,R$ 0 ,1,02:00,,,A7,Equipe 3,Sophia
Não pago,12,Jun,Website,R$ 0 ,2,02:00,,,A2,Equipe 2,Heitor
Não pago,7,Out,Google Ad,R$ 0 ,6,02:00,,,B12,Equipe 4,Bernardo
Não pago,5,Out,Facebook,R$ 0 ,4,02:00,,,C8,Equipe 2,Heitor
Não pago,23,Nov,Televisão,R$ 0 ,3,02:00,,,A7,Equipe 4,Theo
Não pago,19,Nov,Facebook,R$ 0 ,1,02:00,,,B18,Equipe 1,Lucas
Não pago,10,Dez,Google Ad,R$ 0 ,1,02:00,,,B18,Equipe 1,Davi
Não pago,11,Mar,Facebook,R$ 0 ,1,02:00,,,A1,Equipe 1,Lorena
Não pago,14,Abr,Televisão,R$ 0 ,5,02:00,,,A2,Equipe 2,Laura
Não pago,1,Mai,Televisão,R$ 0 ,1,02:00,,,A7,Equipe 3,Sophia
Não pago,12,Jun,Website,R$ 0 ,2,02:00,,,A2,Equipe 2,Heitor
Pago,1,Mai,Facebook,R$ 25000000 ,1,02:00,GK,Pre. L2,A1,Equipe 4,Bernardo
Pago,12,Jun,Televisão,R$ 12000000 ,2,02:00,GK,KJI. L4,A1,Equipe 2,Heitor
Pago,12,Jun,Televisão,R$ 15000000 ,5,02:00,GK,Fndn. L1,B18,Equipe 1,Lucas
Pago,10,Ago,Televisão,R$ 12000000 ,4,02:00,GK,Fndn. L6,A2,Equipe 2,Helena
Pago,23,Set,Televisão,R$ 20000000 ,1,02:00,GK,Pre. L2,A1,Equipe 3,João
Pago,8,Set,Facebook,R$ 21000000 ,4,02:00,GK,KJI. L4,B12,Equipe 1,Samuel
Pago,22,Set,Televisão,R$ 15000000 ,3,02:00,GK,Fndn. L1,B12,Equipe 2,Helena
Pago,30,Set,Televisão,R$ 12000000 ,3,02:00,GK,Pre. L2,B18,Equipe 1,Lucas
Pago,8,Out,Televisão,R$ 20000000 ,3,02:00,GK,Pre. L4,B12,Equipe 3,Sophia
Pago,30,Out,WhatsApp,R$ 15000000 ,1,02:00,GK,KJI. L4,B13,Equipe 2,Heitor
Pago,9,Out,Website,R$ 15000000 ,3,02:00,GK,Fndn. L1,C8,Equipe 2,Mathias
Pago,11,Out,WhatsApp,R$ 15000000 ,2,02:00,GK,Pre. L3,C8,Equipe 2,Laura
Pago,26,Out,Televisão,R$ 7000000 ,2,02:00,GK,Pre. L4,C8,Equipe 1,Lorena
Pago,22,Nov,Facebook,R$ 38000000 ,4,02:00,BE,Pre. L3,A2,Equipe 4,Bernardo
Pago,3,Nov,Google Ad,R$ 19000000 ,1,02:00,BE,Fndn. L1,A7,Equipe 2,Helena
Pago,8,Nov,Google Ad,R$ 38000000 ,1,02:00,BE,Fndn. L6,B13,Equipe 1,Arthur
Pago,19,Nov,Website,R$ 12000000 ,1,02:00,GK,KJI. L4,A7,Equipe 4,Bernardo
Pago,1,Mai,Facebook,R$ 25000000 ,1,02:00,GK,Pre. L2,A1,Equipe 4,Bernardo
Pago,12,Jun,Televisão,R$ 12000000 ,2,02:00,GK,KJI. L4,A1,Equipe 2,Heitor
Pago,12,Jun,Televisão,R$ 15000000 ,5,02:00,GK,Fndn. L1,B18,Equipe 1,Lucas
Pago,10,Ago,Televisão,R$ 12000000 ,4,02:00,GK,Fndn. L6,A2,Equipe 2,Helena
Não pago,3,Jun,Website,R$ 0 ,2,02:00,,,B18,Equipe 2,Heitor
Não pago,13,Ago,Website,R$ 0 ,1,02:00,,,A2,Equipe 1,Arthur
Não pago,29,Out,Website,R$ 0 ,4,02:00,,,A2,Equipe 3,João
Não pago,5,Out,Website,R$ 0 ,5,02:00,,,B13,Equipe 2,Laura
Não pago,19,Nov,Google Ad,R$ 0 ,2,02:00,,,C8,Equipe 4,Bernardo
Não pago,18,Dez,Televisão,R$ 0 ,1,02:00,,,A1,Equipe 4,Theo
Não pago,29,Dez,Google Ad,R$ 0 ,1,02:00,,,A1,Equipe 1,Lorena
Não pago,1,Dez,Google Ad,R$ 0 ,2,02:00,,,B12,Equipe 1,Arthur
Não pago,30,Dez,Website,R$ 0 ,1,02:00,,,B18,Equipe 3,Sophia
Não pago,3,Jun,Website,R$ 0 ,2,02:00,,,B18,Equipe 2,Heitor
Pago,11,Jan,Google Ad,R$ 20000000 ,2,02:00,CNI,Fndn. L3,A1,Equipe 4,Bernardo
Pago,14,Jan,Google Ad,R$ 15000000 ,2,02:00,GK,Pre. L3,A1,Equipe 2,Laura
Pago,11,Fev,Google Ad,R$ 10000000 ,1,02:00,GK,Fndn. L1,A2,Equipe 1,Lucas
Pago,1,Abr,Website,R$ 25000000 ,1,02:00,GK,Fndn. L1,A4,Equipe 1,Davi
Pago,1,Jul,Youtube,R$ 12000000 ,5,02:00,GK,Pre. L3,B18,Equipe 3,Sophia
Pago,30,Set,Televisão,R$ 12000000 ,1,02:00,GK,KJI. L4,A1,Equipe 4,Bernardo
Pago,13,Set,WhatsApp,R$ 12000000 ,1,02:00,GK,Pre. L2,B18,Equipe 1,Lorena
Pago,1,Set,Televisão,R$ 7000000 ,4,02:00,GK,Fndn. L3,C8,Equipe 1,Lorena
Pago,21,Out,Facebook,R$ 19000000 ,1,02:00,BE,Fndn. L1,A1,Equipe 1,Lucas
Pago,3,Out,Facebook,R$ 38000000 ,2,02:00,BE,KJI. L4,C8,Equipe 2,Helena
Pago,8,Out,Google Ad,R$ 20000000 ,2,02:00,CNI,Fndn. L1,A1,Equipe 2,Heitor
Pago,14,Out,Televisão,R$ 7000000 ,5,02:00,GK,Fndn. L3,B12,Equipe 4,Bernardo
Pago,31,Out,Website,R$ 15000000 ,3,02:00,GK,Fndn. L5,B13,Equipe 3,João
Pago,20,Out,Facebook,R$ 15000000 ,1,02:00,GK,Pre. L4,B18,Equipe 3,Sophia
Pago,25,Nov,Televisão,R$ 38000000 ,1,02:00,BE,Pre. L2,A1,Equipe 1,Lorenzo
Pago,5,Nov,Facebook,R$ 12000000 ,2,02:00,GK,Pre. L8,B12,Equipe 2,Laura
Pago,16,Nov,Website,R$ 12000000 ,3,02:00,GK,KJI. L4,C8,Equipe 2,Heitor
Pago,26,Dez,WhatsApp,R$ 25000000 ,5,02:00,GK,Pre. L4,A4,Equipe 3,Sophia
Pago,11,Jan,Google Ad,R$ 20000000 ,2,02:00,CNI,Fndn. L3,A1,Equipe 4,Bernardo
Pago,14,Jan,Google Ad,R$ 15000000 ,2,02:00,GK,Pre. L3,A1,Equipe 2,Laura
Pago,11,Fev,Google Ad,R$ 10000000 ,1,02:00,GK,Fndn. L1,A2,Equipe 1,Lucas
Pago,1,Abr,Website,R$ 25000000 ,1,02:00,GK,Fndn. L1,A4,Equipe 1,Davi
Pago,1,Jul,Youtube,R$ 12000000 ,5,02:00,GK,Pre. L3,B18,Equipe 3,Sophia
Não pago,13,Jun,Televisão,R$ 0 ,3,02:00,,,B13,Equipe 2,Heitor
Não pago,15,Set,WhatsApp,R$ 0 ,4,02:00,,,A7,Equipe 1,Samuel
Não pago,28,Out,Facebook,R$ 0 ,3,02:00,,,A2,Equipe 2,Helena
Não pago,20,Out,Televisão,R$ 0 ,2,02:00,,,A7,Equipe 1,Lorena
Não pago,14,Out,Televisão,R$ 0 ,1,02:00,,,B18,Equipe 4,Bernardo
Não pago,13,Nov,Televisão,R$ 0 ,1,02:00,,,A2,Equipe 1,Davi
Não pago,15,Nov,Google Ad,R$ 0 ,4,02:00,,,A2,Equipe 3,Sophia
Não pago,26,Nov,Televisão,R$ 0 ,2,02:00,,,C8,Equipe 2,Helena
Não pago,13,Jun,Televisão,R$ 0 ,3,02:00,,,B13,Equipe 2,Heitor
Pago,16,Jan,WhatsApp,R$ 25000000 ,1,02:00,GK,Pre. L2,B18,Equipe 2,Helena
Pago,1,Fev,Facebook,R$ 7000000 ,2,02:00,GK,Pre. L8,A2,Equipe 2,Helena
Pago,11,Fev,Facebook,R$ 12000000 ,2,02:00,GK,Pre. L8,A4,Equipe 1,Lucas
Pago,11,Fev,Televisão,R$ 15000000 ,1,02:00,GK,Fndn. L1,B18,Equipe 4,Theo
Pago,1,Abr,Televisão,R$ 19000000 ,1,02:00,BE,Fndn. L1,B12,Equipe 1,Samuel
Pago,1,Abr,WhatsApp,R$ 20000000 ,3,02:00,CNI,Fndn. L1,B18,Equipe 4,Bernardo
Pago,1,Abr,Televisão,R$ 15000000 ,1,02:00,GK,Pre. L3,C8,Equipe 3,Alice
Pago,1,Mai,Televisão,R$ 20000000 ,4,02:00,CNI,Fndn. L1,B13,Equipe 1,Lorena
Pago,4,Mai,Youtube,R$ 15000000 ,1,02:00,GK,Fndn. L3,B12,Equipe 2,Helena
Pago,11,Mai,WhatsApp,R$ 25000000 ,4,02:00,GK,Fndn. L5,B12,Equipe 2,Laura
Pago,12,Jul,WhatsApp,R$ 12000000 ,4,02:00,GK,Fndn. L3,B13,Equipe 3,Sophia
Pago,31,Ago,Televisão,R$ 19000000 ,3,02:00,BE,Pre. L3,B13,Equipe 2,Laura
Pago,2,Ago,Website,R$ 12000000 ,2,02:00,GK,Pre. L3,A1,Equipe 1,Samuel
Pago,9,Ago,Televisão,R$ 12000000 ,5,02:00,GK,Pre. L4,A4,Equipe 2,Laura
Pago,25,Ago,Facebook,R$ 10000000 ,4,02:00,GK,Pre. L4,A2,Equipe 2,Helena
Pago,9,Ago,Televisão,R$ 12000000 ,1,02:00,GK,Pre. L2,A4,Equipe 1,Lucas
Pago,10,Ago,Facebook,R$ 15000000 ,1,02:00,GK,Pre. L3,A4,Equipe 2,Laura
Pago,14,Ago,Google Ad,R$ 20000000 ,3,02:00,GK,Fndn. L5,A7,Equipe 1,Lucas
Pago,10,Set,Website,R$ 11000000 ,1,02:00,CNI,KJI. L4,B12,Equipe 3,Alice
Pago,27,Set,Facebook,R$ 12000000 ,3,02:00,GK,Fndn. L5,A1,Equipe 1,Lorena
Pago,28,Set,Televisão,R$ 15000000 ,1,02:00,GK,Fndn. L5,B18,Equipe 2,Helena
Pago,28,Set,Televisão,R$ 25000000 ,2,02:00,GK,Fndn. L3,A1,Equipe 2,Heitor
Pago,29,Set,Facebook,R$ 7000000 ,3,02:00,GK,Fndn. L1,A2,Equipe 4,Bernardo
Pago,30,Set,Youtube,R$ 12000000 ,4,02:00,GK,Fndn. L5,A1,Equipe 1,Lorenzo
Pago,11,Set,WhatsApp,R$ 15000000 ,1,02:00,GK,KJI. L4,A2,Equipe 4,Bernardo
Pago,15,Set,Website,R$ 15000000 ,3,02:00,GK,Fndn. L5,B12,Equipe 1,Lorena
Pago,20,Out,Facebook,R$ 38000000 ,1,02:00,FC,KJI. L4,B12,Equipe 4,Bernardo
Pago,8,Out,WhatsApp,R$ 38000000 ,4,02:00,BE,KJI. L4,A2,Equipe 4,Bernardo
Pago,27,Out,Televisão,R$ 38000000 ,1,02:00,BE,Fndn. L3,B18,Equipe 4,Bernardo
Pago,5,Out,Google Ad,R$ 15000000 ,1,02:00,GK,KJI. L4,A2,Equipe 4,Theo
Pago,27,Out,Website,R$ 15000000 ,1,02:00,GK,KJI. L4,A7,Equipe 3,Sophia
Pago,30,Out,WhatsApp,R$ 15000000 ,1,02:00,GK,Pre. L2,A7,Equipe 3,Sophia
Pago,1,Out,WhatsApp,R$ 10000000 ,1,02:00,GK,Fndn. L1,B12,Equipe 1,Samuel
Pago,2,Out,Televisão,R$ 11000000 ,1,02:00,GK,Pre. L2,C8,Equipe 3,Sophia
Pago,6,Out,Televisão,R$ 20000000 ,1,02:00,GK,Fndn. L5,C8,Equipe 4,Theo
Pago,29,Out,WhatsApp,R$ 25000000 ,6,02:00,GK,KJI. L4,C8,Equipe 1,Arthur
Pago,22,Nov,Facebook,R$ 19000000 ,5,02:00,BE,Fndn. L5,A7,Equipe 1,Lorenzo
Pago,22,Nov,Televisão,R$ 20000000 ,4,02:00,CNI,Pre. L3,A7,Equipe 2,Laura
Pago,15,Nov,Website,R$ 12000000 ,2,02:00,GK,Fndn. L5,A1,Equipe 1,Arthur
Pago,19,Nov,Televisão,R$ 15000000 ,3,02:00,GK,Fndn. L1,A1,Equipe 2,Heitor
Pago,17,Nov,Website,R$ 7000000 ,3,02:00,GK,KJI. L4,B12,Equipe 1,Davi
Pago,19,Nov,Youtube,R$ 12000000 ,1,02:00,GK,Pre. L8,B18,Equipe 2,Helena
Pago,14,Nov,WhatsApp,R$ 25000000 ,1,02:00,GK,Fndn. L1,C8,Equipe 3,João
Pago,29,Dez,Website,R$ 19000000 ,1,02:00,BE,Fndn. L6,A7,Equipe 2,Bruno
Pago,13,Dez,Google Ad,R$ 12000000 ,5,02:00,GK,KJI. L4,A1,Equipe 1,Lorena
Pago,26,Dez,Facebook,R$ 25000000 ,2,02:00,GK,Fndn. L5,A1,Equipe 4,Theo
Pago,16,Dez,Televisão,R$ 15000000 ,3,02:00,GK,Pre. L8,A2,Equipe 2,Helena
Pago,14,Dez,Facebook,R$ 7000000 ,1,02:00,GK,Fndn. L1,B18,Equipe 1,Lorenzo
Pago,16,Jan,WhatsApp,R$ 25000000 ,1,02:00,GK,Pre. L2,B18,Equipe 2,Helena
Pago,1,Fev,Facebook,R$ 7000000 ,2,02:00,GK,Pre. L8,A2,Equipe 2,Helena
Pago,11,Fev,Facebook,R$ 12000000 ,2,02:00,GK,Pre. L8,A4,Equipe 1,Lucas
Pago,11,Fev,Televisão,R$ 15000000 ,1,02:00,GK,Fndn. L1,B18,Equipe 4,Theo
Pago,1,Abr,Televisão,R$ 19000000 ,1,02:00,BE,Fndn. L1,B12,Equipe 1,Samuel
Pago,1,Abr,WhatsApp,R$ 20000000 ,3,02:00,CNI,Fndn. L1,B18,Equipe 4,Bernardo
Pago,1,Abr,Televisão,R$ 15000000 ,1,02:00,GK,Pre. L3,C8,Equipe 3,Alice
Pago,1,Mai,Televisão,R$ 20000000 ,4,02:00,CNI,Fndn. L1,B13,Equipe 1,Lorena
Pago,4,Mai,Youtube,R$ 15000000 ,1,02:00,GK,Fndn. L3,B12,Equipe 2,Helena
Pago,11,Mai,WhatsApp,R$ 25000000 ,4,02:00,GK,Fndn. L5,B12,Equipe 2,Laura
Pago,12,Jul,WhatsApp,R$ 12000000 ,4,02:00,GK,Fndn. L3,B13,Equipe 3,Sophia
Pago,31,Ago,Televisão,R$ 19000000 ,3,02:00,BE,Pre. L3,B13,Equipe 2,Laura
Pago,2,Ago,Website,R$ 12000000 ,2,02:00,GK,Pre. L3,A1,Equipe 1,Samuel
Pago,9,Ago,Televisão,R$ 12000000 ,5,02:00,GK,Pre. L4,A4,Equipe 2,Laura
Pago,25,Ago,Facebook,R$ 10000000 ,4,02:00,GK,Pre. L4,A2,Equipe 2,Helena
Não pago,8,Jul,Website,R$ 0 ,3,02:00,,,A1,Equipe 2,Laura
Não pago,5,Jul,WhatsApp,R$ 0 ,1,02:00,,,A2,Equipe 1,Davi
Não pago,2,Set,Google Ad,R$ 0 ,2,02:00,,,A1,Equipe 3,João
Não pago,20,Set,WhatsApp,R$ 0 ,1,02:00,,,A4,Equipe 2,Helena
Não pago,22,Set,Televisão,R$ 0 ,3,02:00,,,B12,Equipe 2,Helena
Não pago,15,Set,Televisão,R$ 0 ,3,02:00,,,C8,Equipe 4,Bernardo
Não pago,21,Set,WhatsApp,R$ 0 ,2,02:00,,,C8,Equipe 3,Alice
Não pago,24,Out,WhatsApp,R$ 0 ,1,02:00,,,A2,Equipe 4,Bernardo
Não pago,5,Out,Facebook,R$ 0 ,5,02:00,,,B18,Equipe 1,Samuel
Não pago,15,Nov,Televisão,R$ 0 ,1,02:00,,,A1,Equipe 2,Helena
Não pago,29,Nov,Facebook,R$ 0 ,4,02:00,,,A4,Equipe 1,Lucas
Não pago,11,Nov,Facebook,R$ 0 ,3,02:00,,,A2,Equipe 1,Lorenzo
Não pago,26,Nov,Website,R$ 0 ,6,02:00,,,C8,Equipe 2,Helena
Não pago,31,Dez,WhatsApp,R$ 0 ,1,02:00,,,A1,Equipe 1,Lucas
Não pago,30,Dez,Google Ad,R$ 0 ,4,02:00,,,A4,Equipe 4,Theo
Não pago,14,Dez,Facebook,R$ 0 ,1,02:00,,,B13,Equipe 1,Davi
Não pago,30,Dez,Facebook,R$ 0 ,4,02:00,,,B18,Equipe 2,Laura
Não pago,8,Jul,Website,R$ 0 ,3,02:00,,,A1,Equipe 2,Laura
Não pago,5,Jul,WhatsApp,R$ 0 ,1,02:00,,,A2,Equipe 1,Davi
Pago,11,Fev,Youtube,R$ 38000000 ,3,02:00,BE,Fndn. L1,A2,Equipe 1,Lorenzo
Pago,13,Set,Facebook,R$ 19000000 ,6,02:00,BE,Fndn. L3,A7,Equipe 1,Lorena
Pago,25,Set,Facebook,R$ 15000000 ,4,02:00,GK,KJI. L4,A1,Equipe 4,Bernardo
Pago,30,Set,Youtube,R$ 12000000 ,4,02:00,GK,KJI. L4,A1,Equipe 2,Heitor
Pago,26,Out,Televisão,R$ 11000000 ,1,02:00,CNI,Pre. L8,B13,Equipe 4,Bernardo
Pago,28,Out,Website,R$ 12000000 ,1,02:00,GK,Pre. L4,A1,Equipe 4,Theo
Pago,28,Out,Google Ad,R$ 7000000 ,3,02:00,GK,Fndn. L1,C8,Equipe 1,Lorenzo
Pago,24,Nov,Website,R$ 20000000 ,7,02:00,GK,Fndn. L5,A1,Equipe 2,Bruno
Pago,26,Nov,Televisão,R$ 25000000 ,3,02:00,GK,Pre. L3,A4,Equipe 1,Samuel
Pago,1,Nov,Televisão,R$ 15000000 ,2,02:00,GK,Fndn. L3,B12,Equipe 2,Heitor
Pago,30,Nov,WhatsApp,R$ 21000000 ,3,02:00,GK,Pre. L3,B18,Equipe 2,Laura
Pago,11,Fev,Youtube,R$ 38000000 ,3,02:00,BE,Fndn. L1,A2,Equipe 1,Lorenzo
Não pago,11,Nov,Google Ad,R$ 0 ,2,02:00,,,B13,Equipe 3,Alice
Não pago,29,Nov,Televisão,R$ 0 ,3,02:00,,,B18,Equipe 2,Laura
Pago,12,Fev,Facebook,R$ 19000000 ,5,02:00,BE,Fndn. L3,B18,Equipe 4,Bernardo
Pago,11,Mar,Televisão,R$ 20000000 ,1,02:00,GK,Fndn. L5,A1,Equipe 2,Helena
Pago,19,Out,Google Ad,R$ 11000000 ,1,02:00,CNI,Pre. L3,A2,Equipe 1,Arthur
Pago,5,Out,Google Ad,R$ 25000000 ,2,02:00,GK,Pre. L3,A1,Equipe 3,Sophia
Pago,22,Out,Youtube,R$ 12000000 ,2,02:00,GK,Pre. L3,A4,Equipe 1,Davi
Pago,8,Out,Google Ad,R$ 12000000 ,3,02:00,GK,KJI. L4,B12,Equipe 2,Helena
Pago,22,Nov,WhatsApp,R$ 15000000 ,1,02:00,GK,Fndn. L6,A4,Equipe 1,Lorena
Pago,11,Nov,Website,R$ 21000000 ,4,02:00,GK,KJI. L4,A7,Equipe 2,Heitor
Pago,17,Nov,Televisão,R$ 15000000 ,1,02:00,GK,Fndn. L5,B18,Equipe 2,Helena
Pago,12,Fev,Facebook,R$ 19000000 ,5,02:00,BE,Fndn. L3,B18,Equipe 4,Bernardo
Pago,11,Mar,Televisão,R$ 20000000 ,1,02:00,GK,Fndn. L5,A1,Equipe 2,Helena
Não pago,5,Mai,Televisão,R$ 0 ,1,02:00,,,B12,Equipe 1,Lucas
Não pago,29,Set,Televisão,R$ 0 ,4,02:00,,,B18,Equipe 1,Lorena
Não pago,11,Out,Website,R$ 0 ,1,02:00,,,C8,Equipe 3,João
Não pago,23,Nov,WhatsApp,R$ 0 ,1,02:00,,,A1,Equipe 2,Helena
Não pago,5,Mai,Televisão,R$ 0 ,1,02:00,,,B12,Equipe 1,Lucas
